reality,le_predict,mape,accurary
812.65,697.4299956,0.141783061,0.86
844.59,754.8634778,0.10623678,0.89
876.54,799.2216278,0.088208607,0.91
882.7,830.7059626,0.058903407,0.94
906.49,874.6807965,0.035090518,0.96
1142.1,943.5148915,0.173877164,0.83
1042.26,922.9990485,0.114425337,0.89
870.55,894.1226518,0.027077884,0.97
846.66,896.203713,0.058516657,0.94
908.49,896.203713,0.013523855,0.99
1124.13,757.7939773,0.325884037,0.67
1138.33,701.3865218,0.383846054,0.62
1054.24,707.9627899,0.32846146,0.67
886.52,730.0938014,0.176449712,0.82
918.47,728.3984615,0.206943655,0.79
820.63,728.3984615,0.112391137,0.89
779.19,728.3984615,0.065185049,0.93
752.75,728.3984615,0.032350101,0.97
706.89,728.3984615,0.030426886,0.97
709.61,707.9627899,0.002321289,1
698.84,707.9627899,0.01305419,0.99
720.93,682.265037,0.053632063,0.95
734.78,722.4397276,0.016794513,0.98
787.17,694.0334061,0.118318272,0.88
808.65,707.9627899,0.124512719,0.88
854.58,735.9931211,0.13876627,0.86
878.34,781.6934967,0.110033134,0.89
970.38,817.2531743,0.157800888,0.84
1154.08,896.203713,0.223447497,0.78
1134.11,860.7015411,0.241077549,0.76
