reality,predict,mape
924.72,571.7583618164062,0.38
916.47,571.1403198242188,0.38
898.5,571.0889892578125,0.36
840.6,571.0889892578125,0.32
834.61,571.0889892578125,0.32
790.68,571.103515625,0.28
780.18,571.103515625,0.27
740.77,571.1732788085938,0.23
740.83,571.07177734375,0.23
749.47,571.062744140625,0.24
786.69,571.0372314453125,0.27
802.66,571.1732788085938,0.29
864.56,571.041015625,0.34
882.53,571.7886352539062,0.35
894.76,572.1978759765625,0.36
926.46,572.9953002929688,0.38
1108.15,573.1314086914062,0.48
1172.05,573.4382934570312,0.51
1106.16,573.5764770507812,0.48
1076.21,573.5618896484375,0.47
1040.27,573.8045654296875,0.45
1072.21,573.5878295898438,0.47
1132.19,573.5878295898438,0.49
1176.28,573.1499633789062,0.51
1146.09,572.5239868164062,0.5
1048.25,572.3896484375,0.45
906.49,572.039306640625,0.37
854.58,571.471435546875,0.33
804.66,571.2259521484375,0.29
758.74,571.2259521484375,0.25
730.98,571.2592163085938,0.22
730.78,571.18896484375,0.22
724.79,571.2330932617188,0.21
756.74,571.1732788085938,0.25
746.76,571.3341064453125,0.23
776.71,571.3894653320312,0.26
847.34,571.34326171875,0.33
838.6,571.8582153320312,0.32
896.51,572.78173828125,0.36
922.54,573.4656372070312,0.38
962.58,573.814697265625,0.4
1170.05,573.6561279296875,0.51
1148.09,573.814697265625,0.5
1118.14,573.1499633789062,0.49
1100.4,573.4382934570312,0.48
1082.27,573.45361328125,0.47
1146.09,573.4656372070312,0.5
1112.15,573.180908203125,0.48
1074.21,572.8274536132812,0.47
1076.21,572.0919799804688,0.47
1062.23,571.7583618164062,0.46
988.35,571.3694458007812,0.42
926.46,571.0299072265625,0.38
503.23,571.0050048828125,0.13
473.28,571.0050048828125,0.21
461.23,570.9642333984375,0.24
459.23,570.9642333984375,0.24
888.52,570.9642333984375,0.36
970.38,570.9642333984375,0.41
908.49,571.00390625,0.37
994.34,571.0299072265625,0.43
946.42,571.4092407226562,0.4
634.94,572.0919799804688,0.1
860.8,572.6506958007812,0.33
1205.99,573.0341186523438,0.52
1202.0,572.929931640625,0.52
1174.04,572.929931640625,0.51
652.67,572.8274536132812,0.12
608.99,573.180908203125,0.06
1154.08,573.0138549804688,0.5
1181.25,572.9105834960938,0.51
1140.33,572.0045776367188,0.5
1126.12,571.4092407226562,0.49
1026.29,571.6288452148438,0.44
686.86,571.6024169921875,0.17
